index,dt,AverageTemperature,AverageTemperatureUncertainty,Country
672,1799-11-01,6.068999999999999,2.952,Åland
684,1800-11-01,4.633,3.082,Åland
696,1801-11-01,3.2060000000000004,2.059,Åland
708,1802-11-01,0.9509999999999996,2.631,Åland
720,1803-11-01,0.7269999999999999,2.985,Åland
732,1804-11-01,0.3219999999999996,5.638,Åland
744,1805-11-01,0.6859999999999999,2.487,Åland
756,1806-11-01,2.416,1.249,Åland
768,1807-11-01,2.241,3.094,Åland
780,1808-11-01,2.047,2.909,Åland
792,1809-11-01,0.0179999999999997,3.714,Åland
804,1810-11-01,0.569,3.16,Åland
816,1811-11-01,2.987,6.247999999999998,Åland
828,1812-11-01,0.2810000000000001,4.125,Åland
840,1813-11-01,4.093,2.565,Åland
852,1814-11-01,3.806,6.921,Åland
864,1815-11-01,3.216,2.812,Åland
876,1816-11-01,1.5919999999999996,8.689,Åland
888,1817-11-01,2.126,3.042,Åland
900,1818-11-01,4.117,6.555,Åland
924,1820-11-01,1.5459999999999998,0.89,Åland
936,1821-11-01,3.575,3.0860000000000003,Åland
948,1822-11-01,5.236000000000001,1.5519999999999998,Åland
960,1823-11-01,3.451,4.072,Åland
972,1824-11-01,2.65,2.5860000000000003,Åland
984,1825-11-01,3.528,2.815,Åland
996,1826-11-01,3.104,0.51,Åland
1008,1827-11-01,0.7889999999999997,1.681,Åland
1020,1828-11-01,2.615,2.3480000000000003,Åland
1044,1830-11-01,4.038,2.679,Åland
1056,1831-11-01,1.6740000000000002,5.636,Åland
1068,1832-11-01,2.095,0.772,Åland
1080,1833-11-01,4.129,1.79,Åland
1092,1834-11-01,1.6289999999999998,2.762,Åland
1116,1836-11-01,0.9549999999999996,1.585,Åland
1128,1837-11-01,3.741,2.096,Åland
1140,1838-11-01,1.1789999999999998,3.064,Åland
1152,1839-11-01,1.867,1.634,Åland
1164,1840-11-01,1.864,3.2960000000000003,Åland
1176,1841-11-01,1.948,0.992,Åland
1188,1842-11-01,0.2119999999999997,1.82,Åland
1200,1843-11-01,2.604,0.467,Åland
1212,1844-11-01,0.5499999999999998,1.176,Åland
1224,1845-11-01,4.388999999999999,1.564,Åland
1236,1846-11-01,3.529,1.796,Åland
1248,1847-11-01,6.0120000000000005,1.19,Åland
1260,1848-11-01,1.2569999999999997,1.27,Åland
1272,1849-11-01,2.435,1.821,Åland
1284,1850-11-01,0.6859999999999999,1.859,Åland
1296,1851-11-01,3.485,1.189,Åland
1320,1853-11-01,3.47,1.87,Åland
1332,1854-11-01,0.8099999999999996,1.091,Åland
1344,1855-11-01,2.092,0.6709999999999999,Åland
1368,1857-11-01,3.27,1.158,Åland
1392,1859-11-01,3.084,1.586,Åland
1404,1860-11-01,1.842,0.946,Åland
1416,1861-11-01,1.1759999999999995,1.756,Åland
1428,1862-11-01,3.28,1.128,Åland
1440,1863-11-01,4.633,0.901,Åland
1464,1865-11-01,4.313,0.97,Åland
1476,1866-11-01,0.0949999999999997,0.517,Åland
1488,1867-11-01,0.7909999999999999,1.777,Åland
1500,1868-11-01,1.153,1.171,Åland
1512,1869-11-01,0.7449999999999997,0.458,Åland
1524,1870-11-01,3.197,1.7819999999999998,Åland
1548,1872-11-01,4.446000000000001,1.004,Åland
1560,1873-11-01,3.0780000000000003,0.477,Åland
1572,1874-11-01,1.927,0.759,Åland
1608,1877-11-01,6.394,0.731,Åland
1620,1878-11-01,2.798,1.033,Åland
1632,1879-11-01,0.016,0.64,Åland
1644,1880-11-01,0.6849999999999996,1.594,Åland
1656,1881-11-01,3.63,0.792,Åland
1668,1882-11-01,0.0589999999999997,0.926,Åland
1680,1883-11-01,5.3260000000000005,0.477,Åland
1692,1884-11-01,0.5389999999999997,0.701,Åland
1704,1885-11-01,1.6980000000000002,0.579,Åland
1716,1886-11-01,5.48,0.7170000000000001,Åland
1728,1887-11-01,1.584,0.684,Åland
1740,1888-11-01,0.5789999999999997,0.7859999999999999,Åland
1752,1889-11-01,4.221,0.7659999999999999,Åland
1764,1890-11-01,2.5780000000000003,0.504,Åland
1776,1891-11-01,2.002,0.584,Åland
1788,1892-11-01,4.041,0.6579999999999999,Åland
1800,1893-11-01,1.509,0.599,Åland
1812,1894-11-01,4.683,0.609,Åland
1824,1895-11-01,3.2960000000000003,0.487,Åland
1836,1896-11-01,1.3079999999999998,0.6659999999999999,Åland
1848,1897-11-01,2.725,0.898,Åland
1860,1898-11-01,4.199,0.6579999999999999,Åland
1872,1899-11-01,4.656000000000001,0.428,Åland
1884,1900-11-01,3.274,0.482,Åland
1896,1901-11-01,0.3939999999999997,0.512,Åland
1908,1902-11-01,1.911,0.502,Åland
1920,1903-11-01,2.299,0.8370000000000001,Åland
1932,1904-11-01,0.6419999999999999,0.8220000000000001,Åland
1944,1905-11-01,2.793,0.288,Åland
1956,1906-11-01,4.515,0.334,Åland
1968,1907-11-01,4.044,0.644,Åland
1980,1908-11-01,0.3410000000000002,0.657,Åland
2004,1910-11-01,1.981,0.706,Åland
2016,1911-11-01,4.12,0.319,Åland
2028,1912-11-01,2.298,0.33,Åland
2040,1913-11-01,5.425,0.354,Åland
2052,1914-11-01,2.416,0.235,Åland
2064,1915-11-01,0.8029999999999999,0.503,Åland
2076,1916-11-01,5.122999999999998,0.53,Åland
2088,1917-11-01,3.64,0.609,Åland
2100,1918-11-01,4.885999999999999,0.471,Åland
2124,1920-11-01,4.502,0.635,Åland
2148,1922-11-01,1.809,0.394,Åland
2160,1923-11-01,2.299,0.523,Åland
2172,1924-11-01,4.082,0.442,Åland
2196,1926-11-01,4.337,0.504,Åland
2208,1927-11-01,0.1739999999999995,0.342,Åland
2220,1928-11-01,4.141,0.248,Åland
2232,1929-11-01,5.479,0.617,Åland
2244,1930-11-01,3.5010000000000003,0.262,Åland
2256,1931-11-01,4.573,0.693,Åland
2268,1932-11-01,3.664,0.279,Åland
2280,1933-11-01,1.768,0.58,Åland
2292,1934-11-01,4.672,0.297,Åland
2304,1935-11-01,5.343,0.445,Åland
2316,1936-11-01,4.531000000000001,0.304,Åland
2328,1937-11-01,4.077,0.25,Åland
2340,1938-11-01,6.455,0.444,Åland
2352,1939-11-01,4.321000000000001,0.433,Åland
2364,1940-11-01,3.5410000000000004,0.344,Åland
2376,1941-11-01,0.9469999999999996,0.541,Åland
2388,1942-11-01,2.752,0.358,Åland
2400,1943-11-01,3.972,0.487,Åland
2412,1944-11-01,3.843,0.28,Åland
2424,1945-11-01,2.655,0.32,Åland
2436,1946-11-01,3.414,0.26,Åland
2448,1947-11-01,1.5399999999999998,0.287,Åland
2460,1948-11-01,3.094,0.403,Åland
2472,1949-11-01,4.978,0.3720000000000001,Åland
2484,1950-11-01,3.137,0.475,Åland
2496,1951-11-01,4.14,0.423,Åland
2508,1952-11-01,0.5459999999999998,0.6559999999999999,Åland
2520,1953-11-01,4.927,0.5529999999999999,Åland
2532,1954-11-01,2.7430000000000003,0.257,Åland
2544,1955-11-01,3.03,0.297,Åland
2568,1957-11-01,3.636,0.385,Åland
2580,1958-11-01,5.741999999999999,0.334,Åland
2592,1959-11-01,4.512,0.216,Åland
2604,1960-11-01,3.318,0.454,Åland
2616,1961-11-01,4.758,0.338,Åland
2628,1962-11-01,3.145,0.456,Åland
2640,1963-11-01,3.185,0.434,Åland
2652,1964-11-01,3.1180000000000003,0.22,Åland
2676,1966-11-01,3.99,0.308,Åland
2688,1967-11-01,5.808,0.262,Åland
2700,1968-11-01,0.9979999999999998,0.529,Åland
2712,1969-11-01,2.176,0.456,Åland
2724,1970-11-01,1.7009999999999998,0.291,Åland
2736,1971-11-01,1.4969999999999997,0.234,Åland
2748,1972-11-01,3.875,0.265,Åland
2760,1973-11-01,0.4979999999999998,0.344,Åland
2772,1974-11-01,4.439,0.342,Åland
2784,1975-11-01,4.55,0.329,Åland
2796,1976-11-01,3.312,0.2,Åland
2808,1977-11-01,4.24,0.173,Åland
2820,1978-11-01,5.01,0.371,Åland
2832,1979-11-01,3.6,0.199,Åland
2844,1980-11-01,0.6359999999999997,0.511,Åland
2856,1981-11-01,2.634,0.26,Åland
2868,1982-11-01,5.624,0.33,Åland
2880,1983-11-01,2.017,0.311,Åland
2892,1984-11-01,4.683,0.336,Åland
2904,1985-11-01,1.3330000000000002,0.153,Åland
2916,1986-11-01,5.709,0.423,Åland
2928,1987-11-01,3.474,0.204,Åland
2940,1988-11-01,0.4689999999999994,0.345,Åland
2952,1989-11-01,3.596,0.196,Åland
2964,1990-11-01,2.475,0.236,Åland
2976,1991-11-01,4.879,0.485,Åland
2988,1992-11-01,2.77,0.236,Åland
3000,1993-11-01,1.3630000000000002,0.3670000000000001,Åland
3012,1994-11-01,3.449,0.182,Åland
3024,1995-11-01,1.2990000000000002,0.5,Åland
3036,1996-11-01,4.186,0.224,Åland
3048,1997-11-01,2.898,0.263,Åland
3060,1998-11-01,0.823,0.309,Åland
3072,1999-11-01,5.246,0.547,Åland
3084,2000-11-01,7.132999999999999,0.469,Åland
3096,2001-11-01,3.724,0.252,Åland
3108,2002-11-01,1.0509999999999995,0.241,Åland
3120,2003-11-01,4.65,0.276,Åland
3132,2004-11-01,2.924,0.215,Åland
3144,2005-11-01,5.364,0.336,Åland
3156,2006-11-01,5.151999999999999,0.219,Åland
3168,2007-11-01,3.3310000000000004,0.18,Åland
3180,2008-11-01,4.125,0.1689999999999999,Åland
3192,2009-11-01,5.539,0.422,Åland
3204,2010-11-01,0.79,0.297,Åland
3216,2011-11-01,6.415,0.438,Åland
3228,2012-11-01,5.478,0.261,Åland
3246,1838-11-01,7.475,2.744,Afghanistan
3270,1840-11-01,6.773,2.862,Afghanistan
3282,1841-11-01,6.754,2.332,Afghanistan
3294,1842-11-01,7.316,2.377,Afghanistan
3306,1843-11-01,7.015,2.162,Afghanistan
3318,1844-11-01,6.224,2.065,Afghanistan
3330,1845-11-01,6.757000000000001,2.352,Afghanistan
3342,1846-11-01,7.013,2.376,Afghanistan
3354,1847-11-01,7.683,2.321,Afghanistan
3366,1848-11-01,6.888999999999999,1.821,Afghanistan
3378,1849-11-01,6.852,1.974,Afghanistan
3390,1850-11-01,7.164,2.205,Afghanistan
3402,1851-11-01,6.692,2.087,Afghanistan
3414,1852-11-01,6.468999999999999,2.189,Afghanistan
3426,1853-11-01,6.275,2.287,Afghanistan
3438,1854-11-01,7.822999999999999,2.178,Afghanistan
3450,1855-11-01,6.531000000000001,2.22,Afghanistan
3462,1856-11-01,6.697,2.174,Afghanistan
3474,1857-11-01,6.481,2.315,Afghanistan
3486,1858-11-01,8.844,2.257,Afghanistan
3498,1859-11-01,7.580999999999999,2.396,Afghanistan
3510,1860-11-01,7.04,2.434,Afghanistan
3522,1861-11-01,8.131,2.349,Afghanistan
3534,1862-11-01,6.207999999999999,2.269,Afghanistan
3546,1863-11-01,6.754,2.278,Afghanistan
3558,1864-11-01,6.8260000000000005,2.305,Afghanistan
3570,1865-11-01,7.947,2.293,Afghanistan
3582,1866-11-01,7.225,2.2880000000000003,Afghanistan
3594,1867-11-01,9.623,2.333,Afghanistan
3606,1868-11-01,8.669,2.519,Afghanistan
3618,1869-11-01,7.5,2.217,Afghanistan
3630,1870-11-01,6.857,2.456,Afghanistan
3642,1871-11-01,6.566,2.426,Afghanistan
3654,1872-11-01,7.353,2.258,Afghanistan
3666,1873-11-01,8.668,2.351,Afghanistan
3678,1874-11-01,7.58,2.154,Afghanistan
3690,1875-11-01,6.942,1.842,Afghanistan
3702,1876-11-01,6.666,1.839,Afghanistan
3714,1877-11-01,7.814999999999999,1.42,Afghanistan
3726,1878-11-01,6.584,1.588,Afghanistan
3738,1879-11-01,5.654,0.893,Afghanistan
3750,1880-11-01,7.188,1.942,Afghanistan
3762,1881-11-01,6.811,0.765,Afghanistan
3774,1882-11-01,7.02,1.305,Afghanistan
3786,1883-11-01,5.674,0.655,Afghanistan
3798,1884-11-01,5.573,0.8590000000000001,Afghanistan
3810,1885-11-01,8.361,0.7979999999999999,Afghanistan
3822,1886-11-01,7.21,0.675,Afghanistan
3834,1887-11-01,7.518,1.204,Afghanistan
3846,1888-11-01,7.861000000000001,0.742,Afghanistan
3858,1889-11-01,5.836,0.797,Afghanistan
3870,1890-11-01,7.813,1.336,Afghanistan
3882,1891-11-01,9.03,0.6809999999999999,Afghanistan
3894,1892-11-01,6.775,0.727,Afghanistan
3906,1893-11-01,7.425,0.635,Afghanistan
3918,1894-11-01,7.104,1.031,Afghanistan
3930,1895-11-01,7.907,0.925,Afghanistan
3942,1896-11-01,6.459,0.83,Afghanistan
3954,1897-11-01,9.022,0.975,Afghanistan
3966,1898-11-01,6.136,0.562,Afghanistan
3978,1899-11-01,7.852,0.846,Afghanistan
3990,1900-11-01,8.478,0.667,Afghanistan
4002,1901-11-01,8.827,0.579,Afghanistan
4014,1902-11-01,8.669,0.504,Afghanistan
4026,1903-11-01,7.099,0.857,Afghanistan
4038,1904-11-01,9.458,0.525,Afghanistan
4050,1905-11-01,8.619,0.5479999999999999,Afghanistan
4062,1906-11-01,9.4,0.6709999999999999,Afghanistan
4074,1907-11-01,7.774999999999999,0.667,Afghanistan
4086,1908-11-01,8.193,1.064,Afghanistan
4098,1909-11-01,10.002,0.613,Afghanistan
4110,1910-11-01,6.843999999999999,0.528,Afghanistan
4122,1911-11-01,5.481,0.507,Afghanistan
4134,1912-11-01,6.724,0.911,Afghanistan
4146,1913-11-01,7.911,0.487,Afghanistan
4158,1914-11-01,8.777999999999999,1.268,Afghanistan
4170,1915-11-01,8.863,0.672,Afghanistan
4182,1916-11-01,3.909,0.517,Afghanistan
4194,1917-11-01,5.955,0.459,Afghanistan
4206,1918-11-01,6.441,0.6890000000000001,Afghanistan
4218,1919-11-01,7.816,0.82,Afghanistan
4230,1920-11-01,7.047000000000001,0.6509999999999999,Afghanistan
4242,1921-11-01,7.942,0.488,Afghanistan
4254,1922-11-01,8.204,0.382,Afghanistan
4266,1923-11-01,6.127000000000001,0.6559999999999999,Afghanistan
4278,1924-11-01,7.507999999999999,0.265,Afghanistan
4290,1925-11-01,6.917000000000001,0.368,Afghanistan
4302,1926-11-01,4.44,0.495,Afghanistan
4314,1927-11-01,7.275,0.388,Afghanistan
4326,1928-11-01,8.113,0.804,Afghanistan
4338,1929-11-01,7.437,0.443,Afghanistan
4350,1930-11-01,8.573,0.655,Afghanistan
4362,1931-11-01,7.21,0.324,Afghanistan
4374,1932-11-01,6.864,0.434,Afghanistan
4386,1933-11-01,8.395999999999999,0.363,Afghanistan
4398,1934-11-01,6.303,0.784,Afghanistan
4410,1935-11-01,7.108,0.34,Afghanistan
4422,1936-11-01,7.199,0.291,Afghanistan
4434,1937-11-01,6.85,0.381,Afghanistan
4446,1938-11-01,6.019,0.362,Afghanistan
4458,1939-11-01,8.994,0.287,Afghanistan
4470,1940-11-01,9.065,0.257,Afghanistan
4482,1941-11-01,8.982999999999999,0.283,Afghanistan
4494,1942-11-01,10.538,0.393,Afghanistan
4506,1943-11-01,7.862,0.345,Afghanistan
4518,1944-11-01,8.532,0.328,Afghanistan
4530,1945-11-01,8.435,0.31,Afghanistan
4542,1946-11-01,5.434,0.5770000000000001,Afghanistan
4554,1947-11-01,10.942,0.459,Afghanistan
4566,1948-11-01,7.29,0.551,Afghanistan
4578,1949-11-01,5.186,0.653,Afghanistan
4590,1950-11-01,5.119,0.684,Afghanistan
4602,1951-11-01,8.581,0.356,Afghanistan
4614,1952-11-01,6.626,0.348,Afghanistan
4626,1953-11-01,7.662000000000001,0.385,Afghanistan
4638,1954-11-01,7.274,0.252,Afghanistan
4650,1955-11-01,9.609,0.409,Afghanistan
4662,1956-11-01,8.686,0.495,Afghanistan
4674,1957-11-01,7.055,0.383,Afghanistan
4686,1958-11-01,5.4,0.6779999999999999,Afghanistan
4698,1959-11-01,6.59,0.325,Afghanistan
4710,1960-11-01,7.155,0.21,Afghanistan
4722,1961-11-01,6.867999999999999,0.505,Afghanistan
4734,1962-11-01,5.247000000000001,0.407,Afghanistan
4746,1963-11-01,8.189,0.361,Afghanistan
4758,1964-11-01,6.827999999999999,0.589,Afghanistan
4770,1965-11-01,9.764,0.629,Afghanistan
4782,1966-11-01,5.340999999999998,0.407,Afghanistan
4794,1967-11-01,8.751,0.633,Afghanistan
4806,1968-11-01,8.425,0.5329999999999999,Afghanistan
4818,1969-11-01,6.947,0.48,Afghanistan
4830,1970-11-01,8.777999999999999,0.693,Afghanistan
4842,1971-11-01,9.603,0.465,Afghanistan
4854,1972-11-01,9.139,0.315,Afghanistan
4866,1973-11-01,8.312000000000001,0.426,Afghanistan
4878,1974-11-01,7.622999999999999,0.624,Afghanistan
4890,1975-11-01,5.593,0.417,Afghanistan
4902,1976-11-01,5.47,0.373,Afghanistan
4914,1977-11-01,9.669,0.452,Afghanistan
4926,1978-11-01,6.795999999999999,0.451,Afghanistan
4938,1979-11-01,6.6770000000000005,0.355,Afghanistan
4950,1980-11-01,10.239,0.344,Afghanistan
4962,1981-11-01,8.732999999999999,0.281,Afghanistan
4974,1982-11-01,6.654,0.63,Afghanistan
4986,1983-11-01,10.043,0.6759999999999999,Afghanistan
4998,1984-11-01,9.533,0.362,Afghanistan
5010,1985-11-01,8.587,0.205,Afghanistan
5022,1986-11-01,8.318999999999999,0.423,Afghanistan
5034,1987-11-01,8.952,0.285,Afghanistan
5046,1988-11-01,10.225,0.44,Afghanistan
5058,1989-11-01,9.127,0.274,Afghanistan
5070,1990-11-01,10.042,0.418,Afghanistan
5082,1991-11-01,8.749,0.414,Afghanistan
5094,1992-11-01,9.812,0.7879999999999999,Afghanistan
5106,1993-11-01,8.325,0.826,Afghanistan
5118,1994-11-01,11.56,0.523,Afghanistan
5130,1995-11-01,9.973,0.679,Afghanistan
5142,1996-11-01,6.7620000000000005,0.471,Afghanistan
5154,1997-11-01,7.921,0.404,Afghanistan
5166,1998-11-01,9.698,0.5870000000000001,Afghanistan
5178,1999-11-01,8.932,0.337,Afghanistan
5190,2000-11-01,7.952000000000001,0.638,Afghanistan
5202,2001-11-01,9.815,0.496,Afghanistan
5214,2002-11-01,9.369,0.185,Afghanistan
5226,2003-11-01,7.776,0.365,Afghanistan
5238,2004-11-01,10.859000000000002,0.259,Afghanistan
5250,2005-11-01,8.432,0.404,Afghanistan
5262,2006-11-01,9.408,0.333,Afghanistan
5274,2007-11-01,10.312,0.284,Afghanistan
5286,2008-11-01,8.11,0.362,Afghanistan
5298,2009-11-01,8.583,0.219,Afghanistan
5310,2010-11-01,8.232999999999999,0.317,Afghanistan
5322,2011-11-01,8.998,0.317,Afghanistan
5334,2012-11-01,8.7,0.389,Afghanistan
5355,1850-11-01,21.994,1.259,Africa
5439,1857-11-01,22.696,0.879,Africa
5451,1858-11-01,23.683000000000003,1.197,Africa
5463,1859-11-01,22.748,1.147,Africa
5475,1860-11-01,22.335,0.785,Africa
5487,1861-11-01,22.817,1.1840000000000002,Africa
5499,1862-11-01,21.741,1.031,Africa
5511,1863-11-01,22.508000000000006,1.01,Africa
5523,1864-11-01,22.754,1.045,Africa
5535,1865-11-01,23.176,1.054,Africa
5547,1866-11-01,23.045,1.017,Africa
5559,1867-11-01,23.939,1.529,Africa
5571,1868-11-01,22.074,1.048,Africa
5583,1869-11-01,22.734,0.941,Africa
5595,1870-11-01,22.771,1.109,Africa
5607,1871-11-01,22.271,0.988,Africa
5619,1872-11-01,22.404,0.997,Africa
5631,1873-11-01,22.84800000000001,0.961,Africa
5643,1874-11-01,22.771,0.8740000000000001,Africa
5655,1875-11-01,21.97,0.7929999999999999,Africa
5667,1876-11-01,22.666,0.737,Africa
5679,1877-11-01,23.145000000000003,0.892,Africa
5691,1878-11-01,23.511000000000006,0.6990000000000001,Africa
5703,1879-11-01,22.83,0.748,Africa
5715,1880-11-01,23.055000000000003,1.454,Africa
5727,1881-11-01,22.573,0.757,Africa
5739,1882-11-01,22.361,0.745,Africa
5751,1883-11-01,22.341,0.6609999999999999,Africa
5763,1884-11-01,22.253,0.674,Africa
5775,1885-11-01,22.346,0.716,Africa
5787,1886-11-01,22.26,0.715,Africa
5799,1887-11-01,22.697000000000006,0.708,Africa
5811,1888-11-01,22.746,0.573,Africa
5823,1889-11-01,22.268,0.735,Africa
5835,1890-11-01,22.137,0.535,Africa
5847,1891-11-01,22.555000000000003,0.629,Africa
5859,1892-11-01,22.539,0.615,Africa
5871,1893-11-01,23.178,0.56,Africa
5883,1894-11-01,22.804,0.614,Africa
5895,1895-11-01,23.44,0.508,Africa
5907,1896-11-01,22.555000000000003,0.507,Africa
5919,1897-11-01,22.938,0.735,Africa
5931,1898-11-01,23.004,0.456,Africa
5943,1899-11-01,23.156,0.51,Africa
5955,1900-11-01,22.989,0.471,Africa
5967,1901-11-01,23.097,0.581,Africa
5979,1902-11-01,22.447000000000006,0.354,Africa
5991,1903-11-01,22.329,0.484,Africa
6003,1904-11-01,22.703000000000007,0.322,Africa
6015,1905-11-01,23.364,0.38,Africa
6027,1906-11-01,22.823,0.26,Africa
6039,1907-11-01,22.594,0.313,Africa
6051,1908-11-01,22.508000000000006,0.343,Africa
6063,1909-11-01,23.403,0.27,Africa
6075,1910-11-01,22.59,0.345,Africa
6087,1911-11-01,22.884,0.353,Africa
6099,1912-11-01,22.918000000000006,0.282,Africa
6111,1913-11-01,22.676,0.388,Africa
6123,1914-11-01,23.471,0.383,Africa
6135,1915-11-01,23.431,0.4270000000000001,Africa
6147,1916-11-01,22.821,0.368,Africa
6159,1917-11-01,22.595,0.48,Africa
6171,1918-11-01,23.10100000000001,0.343,Africa
6183,1919-11-01,23.185,0.331,Africa
6195,1920-11-01,23.127,0.366,Africa
6207,1921-11-01,23.035,0.279,Africa
6219,1922-11-01,23.44400000000001,0.442,Africa
6231,1923-11-01,23.274,0.304,Africa
6243,1924-11-01,22.87,0.256,Africa
6255,1925-11-01,23.34,0.345,Africa
6267,1926-11-01,23.258000000000006,0.217,Africa
6279,1927-11-01,23.713,0.332,Africa
6291,1928-11-01,23.221,0.3670000000000001,Africa
6303,1929-11-01,23.26,0.253,Africa
6315,1930-11-01,23.484,0.298,Africa
6327,1931-11-01,23.624,0.175,Africa
6339,1932-11-01,23.634,0.317,Africa
6351,1933-11-01,23.633000000000006,0.24,Africa
6363,1934-11-01,23.466,0.284,Africa
6375,1935-11-01,23.241000000000003,0.1689999999999999,Africa
6387,1936-11-01,23.430000000000003,0.241,Africa
6399,1937-11-01,23.855,0.272,Africa
6411,1938-11-01,23.091,0.238,Africa
6423,1939-11-01,23.042,0.192,Africa
6435,1940-11-01,23.171000000000006,0.221,Africa
6447,1941-11-01,23.675,0.247,Africa
6459,1942-11-01,23.76,0.195,Africa
6471,1943-11-01,23.407,0.195,Africa
6483,1944-11-01,23.47600000000001,0.165,Africa
6495,1945-11-01,23.664,0.158,Africa
6507,1946-11-01,23.745,0.171,Africa
6519,1947-11-01,23.585,0.24,Africa
6531,1948-11-01,22.759,0.171,Africa
6543,1949-11-01,23.681,0.145,Africa
6555,1950-11-01,23.013,0.182,Africa
6567,1951-11-01,23.142000000000003,0.247,Africa
6579,1952-11-01,23.274,0.121,Africa
6591,1953-11-01,23.312,0.088,Africa
6603,1954-11-01,23.466,0.133,Africa
6615,1955-11-01,23.53700000000001,0.223,Africa
6627,1956-11-01,23.148000000000003,0.22,Africa
6639,1957-11-01,23.956000000000003,0.261,Africa
6651,1958-11-01,23.834000000000003,0.12,Africa
6663,1959-11-01,23.374,0.155,Africa
6675,1960-11-01,23.47600000000001,0.231,Africa
6687,1961-11-01,23.052000000000003,0.098,Africa
6699,1962-11-01,23.91200000000001,0.178,Africa
6711,1963-11-01,23.284,0.219,Africa
6723,1964-11-01,22.898000000000003,0.126,Africa
6735,1965-11-01,23.015,0.194,Africa
6747,1966-11-01,23.50500000000001,0.157,Africa
6759,1967-11-01,22.884,0.159,Africa
6771,1968-11-01,23.282,0.131,Africa
6783,1969-11-01,23.713,0.156,Africa
6795,1970-11-01,23.22300000000001,0.117,Africa
6807,1971-11-01,22.727,0.179,Africa
6819,1972-11-01,23.064,0.128,Africa
6831,1973-11-01,22.85,0.116,Africa
6843,1974-11-01,22.824,0.3,Africa
6855,1975-11-01,22.951,0.098,Africa
6867,1976-11-01,23.035,0.144,Africa
6879,1977-11-01,23.232000000000006,0.127,Africa
6891,1978-11-01,22.72,0.189,Africa
6903,1979-11-01,23.498,0.138,Africa
6915,1980-11-01,23.611,0.172,Africa
6927,1981-11-01,23.158,0.213,Africa
6939,1982-11-01,22.578000000000007,0.267,Africa
6951,1983-11-01,23.956000000000003,0.219,Africa
6963,1984-11-01,23.251,0.144,Africa
6975,1985-11-01,23.69,0.178,Africa
6987,1986-11-01,22.964,0.175,Africa
6999,1987-11-01,24.048,0.173,Africa
7011,1988-11-01,23.231,0.111,Africa
7023,1989-11-01,23.69100000000001,0.123,Africa
7035,1990-11-01,24.218000000000004,0.196,Africa
7047,1991-11-01,23.317,0.165,Africa
7059,1992-11-01,23.219,0.132,Africa
7071,1993-11-01,24.183000000000003,0.181,Africa
7083,1994-11-01,23.612,0.171,Africa
7095,1995-11-01,23.59800000000001,0.177,Africa
7107,1996-11-01,23.364,0.147,Africa
7119,1997-11-01,24.051,0.152,Africa
7131,1998-11-01,23.84,0.118,Africa
7143,1999-11-01,23.81,0.127,Africa
7155,2000-11-01,23.827,0.215,Africa
7167,2001-11-01,23.878,0.195,Africa
7179,2002-11-01,23.894,0.171,Africa
7191,2003-11-01,24.341,0.272,Africa
7203,2004-11-01,24.091,0.161,Africa
7215,2005-11-01,24.209000000000003,0.172,Africa
7227,2006-11-01,23.526000000000003,0.13,Africa
7239,2007-11-01,24.057,0.127,Africa
